imdb_id,star,genre,runtime,user,critc,dir_popu,ac1_popu,ac2_popu,ac3_popu,total_box_office,n_of_posters,opening_box_office,year,budget_mixed
tt0073486,8.7,Drama,133,840,153,1.060413,5.753803,3.82453,1.500911,243187,79,16473,2003,3000000
tt0337996,6.6,Comedy,89,14,22,1.000906,1.460553,1.64,1.000001,2255000,1,1079797,2003,3000000
tt0363589,7.2,Crime,82,696,208,1.522463,1.000002,2.287363,1.000972,10051516,10,93356,2003,3000000
tt0317248,8.6,Crime,130,855,217,1.226698,1.022116,1.004015,1.271064,32059295,40,88292,2003,3300000
tt0273982,7,Comedy,99,113,41,1.000611,1.000611,4.312236,3.70249,563711,8,301856,2003,4000000
tt0318374,7,Drama,101,217,136,2.03597,7.004188,5.687897,6.621427,11131455,14,128973,2003,4000000
tt0335266,7.8,Drama,102,"1,876",271,2.124101,4.824765,19.548051,4.699463,117085297,34,925087,2003,4000000
tt0298228,7.6,Drama,101,366,157,1.000511,2.141981,1.002399,1.019656,39374600,17,137418,2003,4300000
tt0320244,6.3,Biography,98,158,39,1.000001,3.483547,1.000031,4.159698,894030,5,15163,2003,5000000
tt0338135,7.7,Comedy,99,166,136,1.002325,1.000344,1.193617,1.000001,25913869,14,461363,2003,5000000
tt0340855,7.3,Biography,110,546,187,2.792725,18.351039,4.562016,3.605726,64240813,15,86831,2003,5000000
tt0290673,7.4,Crime,97,689,200,1.688867,16.818337,4.274035,2.036389,8133256,27,60086,2003,5400000
tt0335563,6.6,Crime,104,154,92,1.00008,5.101324,6.70483,2.700911,1060512,11,38947,2003,5500000
tt0286499,6.7,Comedy,112,439,159,1.002408,2.912651,7.92823,4.664652,74566042,19,161528,2003,5600000
tt0356614,6.5,Action,97,48,16,1,20.825026,1.820307,1.000097,421021,7,230312,2003,5800000
tt0283900,7.3,Comedy,122,149,91,1.925092,4.137244,1.616898,5.679628,3895664,16,57692,2003,5900000
tt0322289,6.6,Drama,104,35,62,3.5038,1.167703,1.701763,1.093418,181798,3,12419,2003,6000000
tt0323944,7.2,Drama,94,194,132,2.011478,3.475599,2.847186,3.669236,3456602,12,77540,2003,6000000
tt0310281,7.3,Comedy,91,270,96,1.177447,1.177447,2.943627,3.009347,18504539,9,2112140,2003,6000000
tt0301357,7.7,Comedy,121,230,156,1.64,4.38952,1.52,2.190816,79384539,16,57968,2003,6400000
tt0161860,7.6,Biography,140,85,76,1.000004,1.090434,1.198016,1.087577,6173485,5,22070,2003,6500000
tt0301390,6.6,Drama,96,25,39,1.000058,5.703293,4.006478,5.326419,196067,1,21956,2003,7000000
tt0325055,6.3,Biography,109,99,85,1.000002,3.739935,8.62256,1,2904137,4,58940,2003,7000000
tt0317676,2,Action,90,601,137,1.048247,1.005536,1.149537,2.703327,13767816,8,5683280,2003,7000000
tt0304328,6.4,Crime,100,66,41,2.248618,4.765446,10.631442,6.543151,209151,4,30599,2003,7500000
tt0319829,5.5,Comedy,112,98,50,1.014308,1.770625,9.408661,2.11677,555335,10,30783,2003,7500000
